reference_date,target,target_end_date,location,output_type,output_type_id,value,horizon
2024-12-07,1 wk ahead admissions_influenza,2024-12-07,01,quantile,0.01,26.522,0
2024-12-07,1 wk ahead admissions_influenza,2024-12-07,01,quantile,0.025,29.896,0
2024-12-07,1 wk ahead admissions_influenza,2024-12-07,01,quantile,0.05,30.507,0
2024-12-07,1 wk ahead admissions_influenza,2024-12-07,01,quantile,0.1,35.004,0
2024-12-07,1 wk ahead admissions_influenza,2024-12-07,01,quantile,0.15,38.996,0
2024-12-07,1 wk ahead admissions_influenza,2024-12-07,01,quantile,0.2,42.056,0
2024-12-07,1 wk ahead admissions_influenza,2024-12-07,01,quantile,0.25,43.113,0
2024-12-07,1 wk ahead admissions_influenza,2024-12-07,01,quantile,0.3,44.06,0
2024-12-07,1 wk ahead admissions_influenza,2024-12-07,01,quantile,0.35,45.639,0
2024-12-07,1 wk ahead admissions_influenza,2024-12-07,01,quantile,0.4,46.706,0
2024-12-07,1 wk ahead admissions_influenza,2024-12-07,01,quantile,0.45,49.143,0
2024-12-07,1 wk ahead admissions_influenza,2024-12-07,01,quantile,0.5,51.775,0
2024-12-07,1 wk ahead admissions_influenza,2024-12-07,01,quantile,0.55,52.99,0
2024-12-07,1 wk ahead admissions_influenza,2024-12-07,01,quantile,0.6,53.548,0
2024-12-07,1 wk ahead admissions_influenza,2024-12-07,01,quantile,0.65,54.763,0
2024-12-07,1 wk ahead admissions_influenza,2024-12-07,01,quantile,0.7,56.301,0
2024-12-07,1 wk ahead admissions_influenza,2024-12-07,01,quantile,0.75,57.54,0
2024-12-07,1 wk ahead admissions_influenza,2024-12-07,01,quantile,0.8,60.086,0
2024-12-07,1 wk ahead admissions_influenza,2024-12-07,01,quantile,0.85,61.802,0
2024-12-07,1 wk ahead admissions_influenza,2024-12-07,01,quantile,0.9,64.245,0
2024-12-07,1 wk ahead admissions_influenza,2024-12-07,01,quantile,0.95,66.019,0
2024-12-07,1 wk ahead admissions_influenza,2024-12-07,01,quantile,0.975,69.319,0
2024-12-07,1 wk ahead admissions_influenza,2024-12-07,01,quantile,0.99,77.372,0
2024-12-07,2 wk ahead admissions_influenza,2024-12-14,01,quantile,0.01,13.175,1
2024-12-07,2 wk ahead admissions_influenza,2024-12-14,01,quantile,0.025,21.494,1
2024-12-07,2 wk ahead admissions_influenza,2024-12-14,01,quantile,0.05,27.747,1
2024-12-07,2 wk ahead admissions_influenza,2024-12-14,01,quantile,0.1,31.311,1
2024-12-07,2 wk ahead admissions_influenza,2024-12-14,01,quantile,0.15,38.801,1
2024-12-07,2 wk ahead admissions_influenza,2024-12-14,01,quantile,0.2,41.386,1
2024-12-07,2 wk ahead admissions_influenza,2024-12-14,01,quantile,0.25,42.038,1
2024-12-07,2 wk ahead admissions_influenza,2024-12-14,01,quantile,0.3,43.391,1
2024-12-07,2 wk ahead admissions_influenza,2024-12-14,01,quantile,0.35,44.255,1
2024-12-07,2 wk ahead admissions_influenza,2024-12-14,01,quantile,0.4,47.261,1
2024-12-07,2 wk ahead admissions_influenza,2024-12-14,01,quantile,0.45,49.159,1
2024-12-07,2 wk ahead admissions_influenza,2024-12-14,01,quantile,0.5,51.624,1
2024-12-07,2 wk ahead admissions_influenza,2024-12-14,01,quantile,0.55,52.84,1
2024-12-07,2 wk ahead admissions_influenza,2024-12-14,01,quantile,0.6,54.98,1
2024-12-07,2 wk ahead admissions_influenza,2024-12-14,01,quantile,0.65,57.692,1
2024-12-07,2 wk ahead admissions_influenza,2024-12-14,01,quantile,0.7,60.715,1
2024-12-07,2 wk ahead admissions_influenza,2024-12-14,01,quantile,0.75,61.738,1
2024-12-07,2 wk ahead admissions_influenza,2024-12-14,01,quantile,0.8,63.708,1
2024-12-07,2 wk ahead admissions_influenza,2024-12-14,01,quantile,0.85,68.188,1
2024-12-07,2 wk ahead admissions_influenza,2024-12-14,01,quantile,0.9,71.318,1
2024-12-07,2 wk ahead admissions_influenza,2024-12-14,01,quantile,0.95,76.844,1
2024-12-07,2 wk ahead admissions_influenza,2024-12-14,01,quantile,0.975,80.667,1
2024-12-07,2 wk ahead admissions_influenza,2024-12-14,01,quantile,0.99,92.118,1
2024-12-07,3 wk ahead admissions_influenza,2024-12-21,01,quantile,0.01,2.818,2
2024-12-07,3 wk ahead admissions_influenza,2024-12-21,01,quantile,0.025,8.383,2
2024-12-07,3 wk ahead admissions_influenza,2024-12-21,01,quantile,0.05,15.546,2
2024-12-07,3 wk ahead admissions_influenza,2024-12-21,01,quantile,0.1,26.042,2
2024-12-07,3 wk ahead admissions_influenza,2024-12-21,01,quantile,0.15,33.542,2
2024-12-07,3 wk ahead admissions_influenza,2024-12-21,01,quantile,0.2,37.873,2
2024-12-07,3 wk ahead admissions_influenza,2024-12-21,01,quantile,0.25,40.369,2
2024-12-07,3 wk ahead admissions_influenza,2024-12-21,01,quantile,0.3,42.019,2
2024-12-07,3 wk ahead admissions_influenza,2024-12-21,01,quantile,0.35,43.165,2
2024-12-07,3 wk ahead admissions_influenza,2024-12-21,01,quantile,0.4,46.115,2
2024-12-07,3 wk ahead admissions_influenza,2024-12-21,01,quantile,0.45,47.416,2
2024-12-07,3 wk ahead admissions_influenza,2024-12-21,01,quantile,0.5,51.161,2
2024-12-07,3 wk ahead admissions_influenza,2024-12-21,01,quantile,0.55,52.632,2
2024-12-07,3 wk ahead admissions_influenza,2024-12-21,01,quantile,0.6,54.704,2
2024-12-07,3 wk ahead admissions_influenza,2024-12-21,01,quantile,0.65,59.309,2
2024-12-07,3 wk ahead admissions_influenza,2024-12-21,01,quantile,0.7,63.043,2
2024-12-07,3 wk ahead admissions_influenza,2024-12-21,01,quantile,0.75,66.859,2
2024-12-07,3 wk ahead admissions_influenza,2024-12-21,01,quantile,0.8,68.92,2
2024-12-07,3 wk ahead admissions_influenza,2024-12-21,01,quantile,0.85,73.806,2
2024-12-07,3 wk ahead admissions_influenza,2024-12-21,01,quantile,0.9,78.573,2
2024-12-07,3 wk ahead admissions_influenza,2024-12-21,01,quantile,0.95,82.049,2
2024-12-07,3 wk ahead admissions_influenza,2024-12-21,01,quantile,0.975,87.905,2
2024-12-07,3 wk ahead admissions_influenza,2024-12-21,01,quantile,0.99,96.053,2
2024-12-07,4 wk ahead admissions_influenza,2024-12-28,01,quantile,0.01,1.015,3
2024-12-07,4 wk ahead admissions_influenza,2024-12-28,01,quantile,0.025,4.964,3
2024-12-07,4 wk ahead admissions_influenza,2024-12-28,01,quantile,0.05,13.593,3
2024-12-07,4 wk ahead admissions_influenza,2024-12-28,01,quantile,0.1,22.344,3
2024-12-07,4 wk ahead admissions_influenza,2024-12-28,01,quantile,0.15,26.643,3
2024-12-07,4 wk ahead admissions_influenza,2024-12-28,01,quantile,0.2,29.515,3
2024-12-07,4 wk ahead admissions_influenza,2024-12-28,01,quantile,0.25,36.72,3
2024-12-07,4 wk ahead admissions_influenza,2024-12-28,01,quantile,0.3,39.807,3
2024-12-07,4 wk ahead admissions_influenza,2024-12-28,01,quantile,0.35,43.521,3
2024-12-07,4 wk ahead admissions_influenza,2024-12-28,01,quantile,0.4,47.838,3
2024-12-07,4 wk ahead admissions_influenza,2024-12-28,01,quantile,0.45,49.215,3
2024-12-07,4 wk ahead admissions_influenza,2024-12-28,01,quantile,0.5,53.311,3
2024-12-07,4 wk ahead admissions_influenza,2024-12-28,01,quantile,0.55,56.503,3
2024-12-07,4 wk ahead admissions_influenza,2024-12-28,01,quantile,0.6,60.014,3
2024-12-07,4 wk ahead admissions_influenza,2024-12-28,01,quantile,0.65,61.86,3
2024-12-07,4 wk ahead admissions_influenza,2024-12-28,01,quantile,0.7,67.245,3
2024-12-07,4 wk ahead admissions_influenza,2024-12-28,01,quantile,0.75,70.475,3
2024-12-07,4 wk ahead admissions_influenza,2024-12-28,01,quantile,0.8,78.079,3
2024-12-07,4 wk ahead admissions_influenza,2024-12-28,01,quantile,0.85,80.066,3
2024-12-07,4 wk ahead admissions_influenza,2024-12-28,01,quantile,0.9,84.354,3
2024-12-07,4 wk ahead admissions_influenza,2024-12-28,01,quantile,0.95,87.449,3
2024-12-07,4 wk ahead admissions_influenza,2024-12-28,01,quantile,0.975,97.222,3
2024-12-07,4 wk ahead admissions_influenza,2024-12-28,01,quantile,0.99,108.873,3
2024-12-07,1 wk ahead admissions_influenza,2024-12-07,02,quantile,0.01,1.782,0
2024-12-07,1 wk ahead admissions_influenza,2024-12-07,02,quantile,0.025,2.978,0
2024-12-07,1 wk ahead admissions_influenza,2024-12-07,02,quantile,0.05,3.256,0
2024-12-07,1 wk ahead admissions_influenza,2024-12-07,02,quantile,0.1,4.979,0
2024-12-07,1 wk ahead admissions_influenza,2024-12-07,02,quantile,0.15,5.743,0
2024-12-07,1 wk ahead admissions_influenza,2024-12-07,02,quantile,0.2,6.431,0
2024-12-07,1 wk ahead admissions_influenza,2024-12-07,02,quantile,0.25,7.155,0
2024-12-07,1 wk ahead admissions_influenza,2024-12-07,02,quantile,0.3,7.711,0
2024-12-07,1 wk ahead admissions_influenza,2024-12-07,02,quantile,0.35,7.91,0
2024-12-07,1 wk ahead admissions_influenza,2024-12-07,02,quantile,0.4,8.169,0
2024-12-07,1 wk ahead admissions_influenza,2024-12-07,02,quantile,0.45,8.922,0
2024-12-07,1 wk ahead admissions_influenza,2024-12-07,02,quantile,0.5,9.36,0
2024-12-07,1 wk ahead admissions_influenza,2024-12-07,02,quantile,0.55,9.569,0
2024-12-07,1 wk ahead admissions_influenza,2024-12-07,02,quantile,0.6,9.762,0
2024-12-07,1 wk ahead admissions_influenza,2024-12-07,02,quantile,0.65,10.462,0
2024-12-07,1 wk ahead admissions_influenza,2024-12-07,02,quantile,0.7,10.759,0
2024-12-07,1 wk ahead admissions_influenza,2024-12-07,02,quantile,0.75,11.257,0
2024-12-07,1 wk ahead admissions_influenza,2024-12-07,02,quantile,0.8,12.213,0
2024-12-07,1 wk ahead admissions_influenza,2024-12-07,02,quantile,0.85,12.772,0
2024-12-07,1 wk ahead admissions_influenza,2024-12-07,02,quantile,0.9,13.201,0
2024-12-07,1 wk ahead admissions_influenza,2024-12-07,02,quantile,0.95,14.609,0
2024-12-07,1 wk ahead admissions_influenza,2024-12-07,02,quantile,0.975,18.39,0
